name_1,name_2,prediction,token_set_ratio,label,error
michael j oudshoorn,michael oudshoorn,0.86364144,1.0,1.0,False
louisiana teachers association,fontana teachers association,0.0066893524,0.86,0.0,False
texas state teachers association,texas state teachers association pac 6 89,0.3969648,1.0,0.0,False
parakeets,parrakeets,0.9766331,0.95,1.0,False
tolkien,tolkein,0.9996817,0.86,1.0,False
federation of reconstructionist congregations and havurot,max franklin lebow md a medical corp,0.039787166,0.22,0.0,False
strikingly,strikely,0.99988693,0.78,1.0,False
private management inc,vantage management inc,0.0059888256,0.86,0.0,False
incorporation,incorperation,0.8841965,0.92,1.0,False
westlake transportation inc,towns transportation inc,0.09223396,0.86,0.0,False
interchangeably,interchangably,0.9979636,0.97,1.0,False
tormentors,tormenters,0.97209543,0.9,1.0,False
lan chile,miller ranch,0.016939044,0.19,0.0,False
undefinable,indefineable,0.13012144,0.87,1.0,True
cemetery,cemetary,0.9998258,0.88,1.0,False
sebastia vila,sebastia vila marta,0.7985157,1.0,1.0,False
addressing,addresing,0.9990894,0.95,1.0,False
regional waste systems inc,eastern metals inc,3.7648686e-05,0.41,0.0,False
strategically,stratagically,0.99747014,0.92,1.0,False
shimato construction company ltd,dalton construction company,0.00019611814,0.85,0.0,False
execute,excecute,0.999388,0.93,1.0,False
bowater incorporated,trevarrow incorporated,0.08737179,0.75,0.0,False
equipped,equiped,0.9999663,0.93,1.0,False
guerlin incorporated,allergan incorporated,0.0071025193,0.78,0.0,False
chicago area translators and interpreters association,jean price for hd 21,1.37350335e-05,0.19,0.0,False
inmotion inc,national millwork inc,0.084696546,0.61,0.0,False
earthlink inc,starlink inc,0.0055886214,0.8,0.0,False
destruction,desctruction,0.6352671,0.96,1.0,False
edison international,international directions,0.10725637,0.82,0.0,False
women against violence,lv maintenance,0.0044771195,0.44,0.0,False
national sudden infant death syndrome foundation,sheet metal pac of local 265,5.1395928e-05,0.24,0.0,False
hr policy association,police association,0.02213225,0.87,0.0,False
inco ltd,tdl inc,0.14281338,0.8,0.0,False
resurrecting,resurecting,0.9979215,0.96,1.0,False
share group inc,the sawyer group inc,0.016037881,0.75,0.0,False
publisher,publicher,0.9993805,0.89,1.0,False
floor covering trust,verosoft inc,0.0005255741,0.38,0.0,False
connotations,conotations,0.9988177,0.96,1.0,False
ben salem,benjamin salem,0.97985345,0.78,1.0,False
sophisticated,sophicated,0.98610723,0.87,1.0,False
their,thier,0.9999731,0.8,1.0,False
melek d yucel,melek diker yucel,0.9976186,0.92,1.0,False
harassing,harrassing,0.9968892,0.95,1.0,False
prison law office,rod pitts law office,0.38994926,0.76,0.0,False
reinhard keil,reinhard keil slawik,0.9994587,1.0,1.0,False
omega communications inc,ceo communications,5.9646886e-06,0.88,0.0,False
lci international inc,international finance llc,0.027814673,0.87,0.0,False
center for national policy,center for arizona policy,0.4146529,0.9,0.0,False
excerpts,exerpts,0.99772495,0.93,1.0,False
business,busness,0.99998915,0.93,1.0,False
steve chabot,stave chabot,0.99872136,0.92,1.0,False
private,privte,0.9967448,0.92,1.0,False
ferro corporation,raer corporation,0.0173941,0.85,0.0,False
idiosyncratic,ideosyncratic,0.9977114,0.92,1.0,False
parliamentarian,paliamentarian,0.57791024,0.97,1.0,False
survivor,surviver,0.9980578,0.88,1.0,False
wants,wnats,0.9996905,0.8,1.0,False
jewish war veterans of the united states of america,butterfly world ltd,0.026278242,0.21,0.0,False
back,bakc,0.91193897,0.75,1.0,False
national organization of women,political organization of women,0.088258915,0.85,0.0,False
tim scott,tom rice,0.041298505,0.47,0.0,False
pennsylvania association of school administrators,pontiac association of school administrators,0.15477182,0.9,0.0,False
us hispanic chamber of commerce,us asia chamber of commerce,0.14487164,0.9,0.0,False
david obey,sean duffy,0.41482964,0.2,0.0,False
summit communications inc,cummings communications,0.0002487748,0.83,0.0,False
texas civil justice league,texans civil justice league pac,0.85460496,0.91,1.0,False
imation enterprises corp,amir enterprises inc,0.0002953556,0.73,0.0,False
advocates international,pacsat international,0.017609091,0.84,0.0,False
histocompatibility,histocompatability,0.8087862,0.94,1.0,False
acceleration,accelleration,0.99707264,0.96,1.0,False
villers foundation,drilled foundations,0.00017787433,0.59,0.0,False
american crop protection association,american crop protection assoc,0.7637331,0.91,1.0,False
target corporation,raer corporation,0.18912943,0.82,0.0,False
national association of life underwriters,national assn of life underwriters,0.4837033,0.92,1.0,True
mike capuano,michael capuano,0.97340345,0.81,1.0,False
satellites,satelites,0.9896536,0.95,1.0,False
coopers and lybrand,sanbord corp,0.013348993,0.19,0.0,False
herve delingette,herve delingette,0.9981056,1.0,1.0,False
creative direct marketing international,condominiums at,0.03235138,0.3,0.0,False
bob filner,susan davis,0.08842908,0.19,0.0,False
linkedin corp,kidron inc,0.0025338011,0.43,0.0,False
national association of black social workers,national association of social workers pace,0.21917738,0.94,0.0,False
compatibilities,compatablities,0.9859179,0.9,1.0,False
marine insurance company ltd,time insurance company,0.019685026,0.87,0.0,False
imation enterprises corp,polaris enterprises inc,0.0032617287,0.68,0.0,False
gabriel lopez,gabriel lopez millan,0.998787,1.0,1.0,False
cpc international inc,pala international inc,0.0010618096,0.89,0.0,False
sea land service,lander services,0.0035953496,0.84,0.0,False
p a c varley,peter varley,0.9457207,0.67,1.0,False
comcast corporation,custom cast corporation,0.020041369,0.76,0.0,False
available,availaible,0.99940914,0.95,1.0,False
oak industries inc,koch industries inc pac,0.06056035,0.88,0.0,False
general electric co,regal electric,0.047552336,0.73,0.0,False
care net,tula service inc,5.6456785e-05,0.42,0.0,False
rhythm,rhythim,0.99964106,0.92,1.0,False
citizens national bank of dallas,citizens national bank n a,0.057717245,0.92,0.0,False
portuguese,portugues,0.9629972,0.95,1.0,False
marinus j plasmeijer,rinus plasmeijer,0.3734265,0.89,1.0,True
national business aircraft association,national business aircraft,0.5258523,1.0,1.0,False
borden chemical inc,obrien mechanical inc,0.013539413,0.55,0.0,False
ted yoho,matt gaetz,0.07895654,0.22,0.0,False
rotary international,rsr international,0.5897242,0.87,0.0,True
indiana university,unti vineyards,0.004024909,0.25,0.0,False
pitch,pich,0.9998293,0.89,1.0,False
reminiscent,reminsicent,0.99797755,0.91,1.0,False
carlisle corporation,lilja corporation,0.014906994,0.81,0.0,False
receipt,reciept,0.9996697,0.86,1.0,False
fleet financial group inc,united financial group ltd,0.00074343325,0.75,0.0,False
intercontinental,intercontinetal,0.67193747,0.97,1.0,False
focal communications,capitol communications,0.13515213,0.86,0.0,False
sepracor inc,cup temporaries inc,0.00010250258,0.58,0.0,False
cox enterprises inc,klaxon enterprises inc,0.0021414766,0.88,0.0,False
verispan llc,arise llc,0.00024522026,0.67,0.0,False
cox enterprises inc,botruc enterprises inc,0.08096502,0.88,0.0,False
private management inc,palmer management inc,0.0008579019,0.8,0.0,False
cpc international inc,p f international inc,0.0006042039,0.9,0.0,False
intuitively,intutively,0.9995441,0.95,1.0,False
because,becasue,0.9996824,0.86,1.0,False
homart development co,donmar development corp,0.045679912,0.86,0.0,False
bjoern h menze,bjorn h menze,0.9957233,0.96,1.0,False
inflamed,enflamed,0.98478967,0.88,1.0,False
montanans for limited terms,pennsylvania ohio south jersey joint board uni,0.29465845,0.3,0.0,False
p jourlin,pierre jourlin,0.9762357,0.88,1.0,False
asset management company,walters management company,0.047093507,0.86,0.0,False
enmity,emnity,0.9999973,0.83,1.0,False
ernest w tollner,ernest william tollner,0.9620901,0.93,1.0,False
town of lawndale,town of danville,0.19379514,0.75,0.0,False
embargoes,embargos,0.8843439,0.94,1.0,False
sam graves,kay barnes,0.07916735,0.5,0.0,False
francisco c r reverbel,francisco reverbel,0.74675614,1.0,1.0,False
exaggerates,exagerrates,0.99840075,0.91,1.0,False
bruce braley,pat murphy,0.5635733,0.27,0.0,True
manoel g mendonca,manoel gomes de mendonca neto,0.9620109,0.94,1.0,False
temperament,temperment,0.9972075,0.95,1.0,False
roy blunt,billy long,0.00014798994,0.32,0.0,False
offerings,offereings,0.99467987,0.95,1.0,False
court line,country lites,0.11923565,0.7,0.0,False
international association of nvoccs,national confectioners association,0.018753571,0.7,0.0,False
american association of neurological surgeons,american assn of neurological surgeons,0.7618363,0.93,1.0,False
irresistible,iresistible,0.99618185,0.96,1.0,False
john t wen,john ting yung wen,0.95165104,0.89,1.0,False
interregnum,interrugum,0.98837084,0.86,1.0,False
descendant,decendant,0.9935177,0.95,1.0,False
american society of pension actuaries,american society of pension,0.39890122,1.0,1.0,True
perjury,perjery,0.996364,0.86,1.0,False
consumer action,turner communications,0.1325714,0.5,0.0,False
british,brittish,0.9998604,0.93,1.0,False
patrick martin,t patrick martin,0.79712903,1.0,1.0,False
nemours foundation inc,korean american foundation usa,0.04191013,0.65,0.0,False
amended,ammended,0.99893445,0.93,1.0,False
practice,pratice,0.9995553,0.93,1.0,False
theis research inc,airect inc,3.0870247e-05,0.57,0.0,False
philippine,phillipine,0.99459887,0.9,1.0,False
parallelly,paralelly,0.99543524,0.95,1.0,False
texas medical association,care first medical association,0.015484802,0.86,0.0,False
american cyanamid company,midamerican energy company,0.10946783,0.63,0.0,False
systematically,sysmatically,0.9976367,0.92,1.0,False
kawneer company inc,anker company inc,0.00079850166,0.83,0.0,False
olympic park associates,pma associates,0.4389021,0.83,0.0,False
canon usa inc,canoak usa inc,0.075708404,0.89,0.0,False
north carolina police benevolent association,south carolina police benevolent association,0.27193755,0.95,0.0,False
archaeology,archaelogy,0.9989763,0.95,1.0,False
lake carriers association,roki associates inc,3.321153e-05,0.55,0.0,False
organic trade association,central carolina radiologists,0.0015311125,0.3,0.0,False
ctw investment group,horizon west investment group llc,0.061569728,0.89,0.0,False
marta c rosatelli,marta costa rosatelli,0.8173169,0.94,1.0,False
ravi mazumdar,ravi r mazumdar,0.9510449,1.0,1.0,False
commemorated,commmemorated,0.9970725,0.96,1.0,False
marketing,marketting,0.99900955,0.95,1.0,False
rebound,rebounce,0.97110206,0.8,1.0,False
local 557 international brotherhood of teamsters,international brotherhood of teamsters afl cio,0.00942178,0.9,0.0,False
departments,deparments,0.99540657,0.95,1.0,False
american legion,american long lines,0.7904,0.76,0.0,True
stb enterprises inc,dba enterprises inc,7.7220676e-07,0.89,0.0,False
parents rights inc,atl enterprises inc,0.0005142917,0.59,0.0,False
american international group inc,american international group emplo,0.6269852,0.93,1.0,False
sufficiently,sufficently,0.99924797,0.96,1.0,False
peninsula,pennisula,0.99191195,0.89,1.0,False
anarchism,anarchim,0.94579285,0.94,1.0,False
assume,asume,0.99994594,0.91,1.0,False
new alliance party,new orleans capital,0.1918842,0.49,0.0,False
apicha inc,capa inc,0.031101085,0.78,0.0,False
designed,desgined,0.9988673,0.88,1.0,False
differentiations,differentiatiations,0.9683079,0.91,1.0,False
crystallisation,crystalisation,0.96162593,0.97,1.0,False
cox enterprises inc,cox biscayne enterprises llc,0.10792975,0.88,0.0,False
foster club,frost lumber co,0.19689953,0.62,0.0,False
inseparable,inseperable,0.99971795,0.91,1.0,False
hearst cooperation,ahle corporation,0.0017059701,0.53,0.0,False
countries,countires,0.9995971,0.89,1.0,False
american hospital association,minn hospital association,0.0018675873,0.89,0.0,False
naral pro choice iowa,naral pro choice ca,0.6877549,0.91,1.0,False
juliana f camapum wanderley,juliana fernandes camapum,0.32395545,0.81,1.0,True
personnel,personell,0.984897,0.89,1.0,False
paternal involvement project,the law offices of kenneth s cannata p c,0.08559963,0.24,0.0,False
heath shuler,jeff miller,0.7827715,0.43,0.0,True
csx corporation,c n s corporation,0.3213706,0.88,0.0,False
putnam management co inc,dauen management coinc,2.219616e-06,0.83,0.0,False
commissioning,comisioning,0.98785925,0.92,1.0,False
association of louisiana electric cooperatives inc,association of illinois electric cooperatives,0.44719642,0.89,0.0,False
destabilized,destablized,0.9992949,0.96,1.0,False
visibly,visably,0.99985874,0.86,1.0,False
pala band of mission indians,san manual band of mission indians,0.07578601,0.9,0.0,False
latinojustice puerto rican legal defense and education fund inc,hays murrury caster llp,0.023865426,0.21,0.0,False
have,ahve,0.99818295,0.75,1.0,False
following,follwoing,0.9999093,0.89,1.0,False
defensively,deffensively,0.9991463,0.96,1.0,False
pavilion,pavillion,0.9963116,0.94,1.0,False
san antonio independent school district,austin independent school district,0.011965528,0.89,0.0,False
waste management inc,tank management service,0.33080864,0.67,0.0,False
vengeance,vengance,0.9992781,0.94,1.0,False
michigan united conservation clubs inc,michigan united conservation clubs district 5,0.860611,0.94,1.0,False
abro industries inc,pro pac industries,0.0008609662,0.76,0.0,False
restaurants,restaraunts,0.9928989,0.91,1.0,False
nickel,nickle,0.9773581,0.83,1.0,False
ed pastor,matt jette,0.010855686,0.42,0.0,False
american feed industry association,mercer island education association,0.013018731,0.55,0.0,False
irresistible,iresistable,0.99682957,0.87,1.0,False
zebra,zeebra,0.9939157,0.91,1.0,False
indiana bankers association,michigan bankers association,0.025708148,0.87,0.0,False
unrepentant,unrepentent,0.98931456,0.91,1.0,False
comparison,comparision,0.9855585,0.95,1.0,False
ping inc,pine islandugs inc,0.0010068939,0.55,0.0,False
pseudo,psuedo,0.9991287,0.83,1.0,False
sean duffy,ray boland,0.069207296,0.2,0.0,False
technician,techician,0.99777645,0.95,1.0,False
they,tehy,0.9999896,0.75,1.0,False
yield,yeild,0.99847376,0.8,1.0,False
summary,sumary,0.9999853,0.92,1.0,False
messenger,messanger,0.9989466,0.89,1.0,False
caterpillars,catterpillars,0.96182215,0.96,1.0,False
sony corporation,shano corporation,0.012953073,0.85,0.0,False
altria group inc,altria group inc pac,0.58625215,1.0,1.0,False
advocates international,hadco international,0.009363845,0.81,0.0,False
formalized,formallized,0.99978966,0.95,1.0,False
zoecon corporation,defcon corporation,1.6026452e-05,0.89,0.0,False
freedom watch,doa cmte,0.03986304,0.38,0.0,False
day enterprises,kadri enterprises,0.12255311,0.85,0.0,False
greater detroit chamber of commerce,greater laporte chamber of commerce,0.41094956,0.87,0.0,False
caterpillar,catterpillar,0.8894789,0.96,1.0,False
lively,livley,0.99997646,0.83,1.0,False
unwieldy,unwieldly,0.98320794,0.94,1.0,False
bestiality,beastiality,0.8973766,0.95,1.0,False
ldds communications inc,sbc communication inc,0.077130616,0.82,0.0,False
legitimate,legitamate,0.9988003,0.9,1.0,False
just,jstu,0.99998623,0.75,1.0,False
great,grat,0.99989283,0.89,1.0,False
friends of the earth,friends of the party,0.3830223,0.9,0.0,False
joseph bukchin,yossi bukchin,0.803648,0.74,1.0,False
amalgamated,amalgomated,0.99951684,0.91,1.0,False
eddie johnson,eddie bernice johnson,0.9996754,1.0,1.0,False
jurisdictions,juristictions,0.99676824,0.92,1.0,False
ernst biersack,ernst w biersack,0.98933077,1.0,1.0,False
equilibrium,equilibium,0.9959778,0.95,1.0,False
permission,premission,0.9640755,0.9,1.0,False
reversal,reveral,0.9901086,0.93,1.0,False
california state bar,california state naacp,0.42320183,0.89,0.0,False
american psychiatric association,american chiropractic association,0.018266791,0.86,0.0,False
mason contractors association of america,mason contractors association of amer,0.59629977,0.96,1.0,False
ldds communications inc,i communications inc,0.006201536,0.95,0.0,False
unfortunately,unforetunately,0.9523111,0.96,1.0,False
change to win,hogat inc,0.0034007065,0.45,0.0,False
chanchal k roy,chanchal kumar roy,0.9988387,0.92,1.0,False
cigna corporation,cianbro corporation,0.104337364,0.83,0.0,False
care net,katerine inc,0.007891955,0.5,0.0,False
gerald e gerry connolly,gerald connolly,0.97214013,1.0,1.0,False
incompetence,incompetance,0.9982698,0.92,1.0,False
day enterprises,asg enterprise,0.015737126,0.83,0.0,False
purposely,purposedly,0.99895346,0.95,1.0,False
ids financial services inc,lbs financial services inc,0.092916906,0.92,0.0,False
michigan trial lawyers association,ar trial lawyers association,0.00018092318,0.94,0.0,False
john c carney jr,john carney,0.9928751,1.0,1.0,False
james e clyburn,james clyburn,0.9970423,1.0,1.0,False
atx communications inc,whitman communications,0.0022675842,0.78,0.0,False
chiron corp,corniche group,0.5045007,0.32,0.0,True
collaborative,collaberative,0.9985247,0.92,1.0,False
level,levle,0.99967575,0.8,1.0,False
references,rferences,0.99826,0.95,1.0,False
lai wan chan,laiwan chan,0.9970919,0.96,1.0,False
ismail h toroslu,ismail hakki toroslu,0.996259,0.93,1.0,False
know,kwno,0.9999887,0.75,1.0,False
rubbermaid incorporated,brudin incorporated,0.00040075646,0.77,0.0,False
probability,probabilaty,0.99320304,0.91,1.0,False
diana franklin,diana keen,0.64314896,0.67,1.0,False
new york state bankers association,new york state ambulance association,0.12112068,0.89,0.0,False
washington rural electric cooperative association,lewis county rural electric cooperative association,0.023590665,0.87,0.0,False
last,lsat,0.9997053,0.75,1.0,False
opponent,oppononent,0.9963162,0.89,1.0,False
iowa state education association,wa state dental association,0.004096257,0.78,0.0,False
dramatic,dramtic,0.9994461,0.93,1.0,False
lexmark international,pegmark international,0.03918633,0.9,0.0,False
warranty,warantee,0.35403624,0.75,1.0,True
visa inc,vals inc,0.010657054,0.75,0.0,False
weil gotshal manges,weilgotshal manges llp,0.8176391,0.68,1.0,False
criteria,criterias,0.7325116,0.94,1.0,False
protocol,protocal,0.9987182,0.88,1.0,False
acquiring,aquiring,0.9958909,0.94,1.0,False
contemporaries,contamporaries,0.9393371,0.93,1.0,False
predictions,predicitons,0.99641573,0.91,1.0,False
interrelated,interelated,0.999224,0.96,1.0,False
brian baird,denny heck,0.078197286,0.19,0.0,False
ltv corporation,tlm corporation,0.02464954,0.87,0.0,False
dreams,dreasm,0.9998548,0.83,1.0,False
michael d muhlbaier,michael muhlbaier,0.96878564,1.0,1.0,False
washington state medical association,washington state bail association,0.11635097,0.92,0.0,False
fanaticism,fanatism,0.9739861,0.89,1.0,False
sepracor inc,landscape growers inc,0.0056102704,0.4,0.0,False
degrade,degrate,0.87179476,0.86,1.0,False
slaughterhouses,slaugterhouses,0.9777041,0.97,1.0,False
westchester legal services inc,western steel services inc,0.2447453,0.79,0.0,False
cigna corporation,american ecology corporation,0.031654675,0.79,0.0,False
ascetic,asetic,0.999609,0.92,1.0,False
atari inc,aris optican,0.0016305489,0.57,0.0,False
gary grewal,gary william grewal,0.99781066,1.0,1.0,False
varying,varing,0.99766785,0.92,1.0,False
yousef,youseff,0.9995072,0.92,1.0,False
buoyant,boyant,0.99999255,0.92,1.0,False
national association of schools and colleges of the united methodist church,citizens for wenstrup,0.00688278,0.24,0.0,False
randall m randy hultgren,randy hultgren,0.79686844,1.0,1.0,False
environmental action,environmental monito,0.23115459,0.8,0.0,False
asset management company,asset management co,0.81243604,0.91,1.0,False
renovate,rennovate,0.99965185,0.94,1.0,False
daily gazette co,deitz realty co,0.11854574,0.45,0.0,False
emblematic,emblamatic,0.9998085,0.9,1.0,False
inaugurates,inaugures,0.96942997,0.9,1.0,False
altnet,health stop inc,0.021507574,0.48,0.0,False
silvia d olabarriaga,silvia delgado olabarriaga,0.76415235,0.95,1.0,False
stephen b furber,steve furber,0.98945516,0.79,1.0,False
arid operations inc,aero sport inc,0.010912576,0.48,0.0,False
playboy enterprises inc,hbo enterprises inc,3.2396798e-05,0.88,0.0,False
made corporation,mm corporation,0.004720678,0.88,0.0,False
danners inc,in insurance,0.0013986995,0.43,0.0,False
cigna corporation,conair corporation,0.007196656,0.86,0.0,False
largest,largst,0.99948466,0.92,1.0,False
institute,institue,0.9998951,0.94,1.0,False
despair,dispair,0.9981552,0.86,1.0,False
colorado bar association,calabro association,0.00036791211,0.73,0.0,False
wrestlers,wresters,0.9995097,0.94,1.0,False
guillermo palacios,guillermo palacios navarro,0.9584515,1.0,1.0,False
politico llc,capitol radio llc,4.1966014e-05,0.62,0.0,False
armistice,armistace,0.9996499,0.89,1.0,False
privilege,privilage,0.9998487,0.89,1.0,False
altria group inc,abatelli group inc,0.00014454489,0.76,0.0,False
immigrant legal resource center,harrison hendrickson douglass kirkland pa,0.16395639,0.28,0.0,False
path associates,pma associates,0.35353392,0.9,0.0,False
american civil liberties union of maryland,american civil liberties union oregon,0.30219552,0.9,0.0,False
unconventional,unconvential,0.98040307,0.92,1.0,False
ltv corporation,pilot corporation,0.024959639,0.88,0.0,False
national association of real estate investment trusts,national association of rea estate investment trusts inc,0.57062286,0.95,1.0,False
national association of social workers new hampshire chapter,new hampshire chapter national association of social workers,0.5909959,1.0,1.0,False
distribution,distrubution,0.99461716,0.92,1.0,False
matthew lee,the mel watt,0.07722117,0.52,0.0,False
extremely,extrememly,0.9997365,0.95,1.0,False
john c fleming m d,john fleming,0.9762689,1.0,1.0,False
gracenote,lakefront grocery,0.105502635,0.46,0.0,False
transcendent,transcendant,0.99847686,0.92,1.0,False
canon usa inc,nasco inc,0.017593374,0.55,0.0,False
county of los angeles,the county of los angeles,0.6547978,1.0,1.0,False
csx corporation,codus corporation,0.06355817,0.88,0.0,False
kawneer company inc,warren company inc,0.0019119442,0.76,0.0,False
noticeably,noticably,0.99898726,0.95,1.0,False
embezzled,embezelled,0.999251,0.84,1.0,False
expansion,exapansion,0.9232047,0.95,1.0,False
isabelle comyn,isabelle comyn wattiau,0.97004735,1.0,1.0,False
rick w allen,rick allen,0.98104596,1.0,1.0,False
oceaneering international inc,open center international inc,0.00048150812,0.83,0.0,False
specialty research associates inc,applied research associates inc,9.351456e-05,0.85,0.0,False
preparation,preperation,0.99466926,0.91,1.0,False
month,mounth,0.999243,0.91,1.0,False
abro industries inc,rsk industries inc,0.0004933938,0.88,0.0,False
incompatible,incompatable,0.9988211,0.92,1.0,False
oracle corp,colber corp,0.0061370777,0.64,0.0,False
clearword communications group,applied communications group,0.14685354,0.83,0.0,False
adolescent,adolecent,0.9991034,0.95,1.0,False
attempt,attemt,0.99999374,0.92,1.0,False
seagate technology inc,stonehenge capital co,0.0022047218,0.33,0.0,False
texas state teachers association,texas state teachers association,0.07943111,1.0,1.0,True
nurturing,nuturing,0.9997841,0.94,1.0,False
kindergarten,kindergarden,0.9311771,0.92,1.0,False
lci international inc,sobit international inc,0.0011906709,0.89,0.0,False
yachting,yaching,0.9988497,0.93,1.0,False
abbreviate,abreviate,0.99952304,0.95,1.0,False
westfallarsen,fasteners,0.0040421146,0.36,0.0,False
nestle usa inc,austeel inc,0.0006623154,0.56,0.0,False
litton industries inc,stoltz industries inc,0.0037889369,0.81,0.0,False
altria group inc,tierra group inc,0.0014876483,0.72,0.0,False
administrative,adminstrative,0.86776376,0.96,1.0,False
envirotest systems corp,envirotest systems,0.5546751,1.0,1.0,False
learning center,erlanger inc,0.00062553654,0.52,0.0,False
ro khanna,ron cohen,0.41149747,0.56,0.0,False
sovereign,soverign,0.98651296,0.94,1.0,False
mike simpson,michael simpson,0.9938115,0.81,1.0,False
consumer alert,mena courts,0.12244786,0.4,0.0,False
scavenged,scavanged,0.99957144,0.89,1.0,False
will,wiull,0.9998051,0.89,1.0,False
compatibility,compatablity,0.9987696,0.88,1.0,False
tom graves,rob woodall,0.14734247,0.19,0.0,False
mpower communications co,coopers communication,0.0061435956,0.76,0.0,False
commonly,commongly,0.99992377,0.94,1.0,False
scandinavia,scandanavia,0.9996781,0.91,1.0,False
plagiarism,plagarism,0.9950236,0.95,1.0,False
prominently,prominantly,0.99833983,0.91,1.0,False
with,witht,0.9991254,0.89,1.0,False
sprint corp,spire corp,0.8864381,0.76,0.0,True
harry shum,heung yeung shum,0.9744552,0.57,1.0,False
surrounded,surounded,0.9997013,0.95,1.0,False
aspira association,parrish association,0.0026283546,0.76,0.0,False
vicente r tomas,vicente r tomas lopez,0.9312305,1.0,1.0,False
jeronimo aznar,jeronimo aznar bellver,0.9945589,1.0,1.0,False
uniroyal inc,solutionary inc,0.022171644,0.59,0.0,False
discovers,dicovers,0.9991422,0.94,1.0,False
choctaw nation of oklahoma,choctaw nation nation of oklahoma,0.15845272,1.0,1.0,True
american legislative exchange council,american legislative exchange,0.43754014,1.0,1.0,True
launched,launhed,0.9948224,0.93,1.0,False
boston edison co,boss ent inc,0.044498287,0.5,0.0,False
restoration,restauration,0.97730464,0.87,1.0,False
alpha international,pala international inc,0.0021857885,0.83,0.0,False
fred upton,don cooney,0.604725,0.2,0.0,True
republic,repulic,0.96693784,0.93,1.0,False
national community pharmacists association,national communityacsits association,0.15939213,0.9,0.0,False
temporary,temprary,0.99920803,0.94,1.0,False
write,wriet,0.99739325,0.8,1.0,False
coast range association,strang association,0.013785636,0.88,0.0,False
stb enterprises inc,stc enterprises,0.06619614,0.85,0.0,False
dichotomy,dichtomy,0.99993914,0.94,1.0,False
bormans inc,mars inc,0.01695222,0.74,0.0,False
ivan herman,ivan herman,0.99863166,1.0,1.0,False
incorporated,incoroporated,0.99490196,0.96,1.0,False
emitting,emmiting,0.9998981,0.88,1.0,False
coordination,coordiantion,0.9966881,0.92,1.0,False
times mirror co,morris timber co,0.0114209335,0.71,0.0,False
square,sqaure,0.9991847,0.83,1.0,False
described,descibed,0.9977595,0.94,1.0,False
southern california edison co,orthopedic center of louisiana,0.07343299,0.31,0.0,False
severely,severley,0.99837416,0.88,1.0,False
succeeds,suceeds,0.9992269,0.93,1.0,False
armco incorporated,marco corporation,0.001530396,0.46,0.0,False
taught,teached,0.94841623,0.46,1.0,False
popular,populer,0.9998348,0.86,1.0,False
traditionally,tradtionally,0.9947806,0.96,1.0,False
joseph kennedy iii,joe kennedy,0.68128574,0.78,1.0,False
b d chaudhary,banshi dhar chaudhary,0.9972324,0.82,1.0,False
